Referencia,Fecha Alta,Tipo_Prop,Tipo_Operación,Provincia,Superficie,Construidos,Precio Venta,Fecha Venta,Vendedor,Supervisor,Dueño Propiedad,Rut Dueño,Celular Dueño,email dueño,Comprador o arrendador,Rut Comp/Arrend.
1,01/01/04,Parking,Alquiler,Lleida,291,,2133903,19/06/04,Carmen,Joaquín,Shoshana Powell,24977874-5,9-535-514-270,Morbi.accumsan@nequesedsem.ca,Selma Berger,5186554-5
2,01/01/04,Local,Venta,Girona,199,704,1945424,19/04/04,Pedro,Joaquín,Melyssa Moon,26421731-8,9-248-557-781,est@et.org,Amena Atkinson,39142110-2
3,01/01/04,Oficina,Alquiler,Girona,82,676,712416,08/11/04,Joaquín,,Christine Mcclain,24295582-K,9-273-692-685,rhoncus@Utsemper.net,Mikayla Hogan,34892415-K
4,02/01/04,Parking,Alquiler,Girona,285,573,1815450,27/04/04,Jesús,Luisa,Carlos Grimes,20544114-K,9-121-707-169,malesuada.id.erat@lectus.net,Dalton Shaw,14200827-0
5,02/01/04,Suelo,Venta,Tarragona,152,429,1138024,10/07/04,María,Luisa,Ori Boyd,43136887-0,9-150-481-812,eu.ultrices.sit@hymenaeos.ca,Alexander Conner,38805378-K
6,03/01/04,Industrial,Alquiler,Girona,131,412,953156,05/09/04,Pedro,Joaquín,Zenia Strickland,16413705-8,9-547-504-698,Mauris.vel.turpis@DonecfringillaDonec.co.uk,Farrah Langley,38373367-7
7,03/01/04,Parking,Alquiler,Tarragona,69,506,406686,07/06/04,Pedro,Joaquín,Griffith Britt,11393287-2,9-794-661-204,dictum.augue@metusurna.co.uk,Imogene Velasquez,22593058-9
8,03/01/04,Oficina,Venta,Girona,235,401,2158475,31/10/04,Jesús,Luisa,Logan Crane,8037734-7,9-846-135-541,auctor.Mauris@amagna.co.uk,Rahim Roberson,33266014-4
9,04/01/04,Piso,Alquiler,Lleida,108,201,1024380,28/12/04,Jesús,Luisa,Erica Vance,33830502-8,9-870-723-577,vel@sollicitudinadipiscingligula.com,Jameson Kaufman,17269636-8
10,04/01/04,Parking,Venta,Lleida,299,360,2042768,06/10/04,Joaquín,,Mariam Bender,40581476-5,9-333-511-172,accumsan.interdum@lobortistellus.edu,Steel Kirkland,15499413-0
